Threads,Software Reported (GB/s),Mem Controller to IOD (CS) (GB/s),Local IOD to Compute Die (CCM) (GB/s),Remote IOD to Compute Die (Remote CCM) (GB/s)
1,39.43,39.59,39.58,0.01
2,70.95,71.41,71.14,0.02
3,76.98,80.22,80.64,0.02
4,89.94,91.38,91.39,0.02
5,85.45,91.06,90.88,0.04
6,90.91,92.75,92.75,0.05
7,87.73,90.55,90.59,0.04
8,87.65,89.78,89.54,0.04
9,89.63,90.07,73.64,7.80
10,90.08,93.05,65.48,27.52
11,91.61,93.82,64.30,29.49
12,93.82,94.56,63.10,31.30
13,90.36,93.50,62.26,31.13
14,91.71,92.47,61.55,30.83
15,89.61,90.95,60.80,29.58
16,89.96,90.57,61.48,29.05
