MB_Region,Cacheline_Start,Even_Ch,Odd_Ch,Pair
0,0,1,0,ch1 ch0
1,16384,2,1,ch2 ch1
2,32768,2,0,ch2 ch0
3,49152,0,1,ch0 ch1
4,65536,2,1,ch2 ch1
5,81920,0,2,ch0 ch2
6,98304,0,1,ch0 ch1
7,114688,1,2,ch1 ch2
8,131072,0,2,ch0 ch2
9,147456,1,0,ch1 ch0
10,163840,1,2,ch1 ch2
11,180224,2,0,ch2 ch0
12,196608,1,0,ch1 ch0
13,212992,2,1,ch2 ch1
14,229376,2,0,ch2 ch0
15,245760,0,1,ch0 ch1
16,262144,2,1,ch2 ch1
17,278528,0,2,ch0 ch2
18,294912,0,1,ch0 ch1
19,311296,1,2,ch1 ch2
20,327680,0,2,ch0 ch2
21,344064,1,0,ch1 ch0
22,360448,1,2,ch1 ch2
23,376832,2,0,ch2 ch0
24,393216,1,0,ch1 ch0
25,409600,2,1,ch2 ch1
26,425984,2,0,ch2 ch0
27,442368,0,1,ch0 ch1
28,458752,2,1,ch2 ch1
29,475136,0,2,ch0 ch2
30,491520,0,1,ch0 ch1
31,507904,1,2,ch1 ch2
32,524288,0,2,ch0 ch2
33,540672,1,0,ch1 ch0
34,557056,1,2,ch1 ch2
35,573440,2,0,ch2 ch0
36,589824,1,0,ch1 ch0
37,606208,2,1,ch2 ch1
38,622592,2,0,ch2 ch0
39,638976,0,1,ch0 ch1
40,655360,2,1,ch2 ch1
41,671744,0,2,ch0 ch2
42,688128,0,1,ch0 ch1
43,704512,1,2,ch1 ch2
44,720896,0,2,ch0 ch2
45,737280,1,0,ch1 ch0
46,753664,1,2,ch1 ch2
47,770048,2,0,ch2 ch0
48,786432,1,0,ch1 ch0
49,802816,2,1,ch2 ch1
50,819200,2,0,ch2 ch0
51,835584,0,1,ch0 ch1
52,851968,2,1,ch2 ch1
53,868352,0,2,ch0 ch2
54,884736,0,1,ch0 ch1
55,901120,1,2,ch1 ch2
56,917504,0,2,ch0 ch2
57,933888,1,0,ch1 ch0
58,950272,1,2,ch1 ch2
59,966656,2,0,ch2 ch0
